
connection_spec_client_application,test_id,UTC_timestamp,client_ip,server_ip,min_rtt,sum_rtt,count_rtt,duration,HCThruOctetsRecv,HCThruOctetsAcked,SndLimTimeRwin,SndLimTimeCwnd,SndLimTimeSnd,CongSignals,data_direction,web100_log_entry_snap_State,SegsRetrans,DataSegsOut,WinScaleRcvd
486faad1327c21a7,2016/03/28/20160328T21:00:35.241167000Z_acps.k12.va.us:19558.c2s_snaplog.gz,1459198837,205.201.254.10,4.35.238.203,10,10,1,13142327,103899137,0,0,0,0,0,0,8,0,36051,9
486faad1327c21a7,2016/03/28/20160328T21:00:35.241167000Z_acps.k12.va.us:23945.s2c_snaplog.gz,1459198848,205.201.254.10,4.35.238.203,10,357306,31231,10180030,0,91242008,50284,9954133,175594,12,1,5,154,63209,9
,2016/04/19/20160419T22:22:30.505804000Z_acps.k12.va.us:2294.c2s_snaplog.gz,1461104552,205.201.254.10,38.90.140.139,3,3,1,14182650,5792,0,0,0,0,0,0,5,0,5,9
,2016/04/19/20160419T18:12:51.656267000Z_acps.k12.va.us:63857.c2s_snaplog.gz,1461089573,205.201.254.10,66.198.10.139,28,28,1,14198053,0,0,0,0,0,0,0,5,0,0,9
,2016/04/19/20160419T16:33:41.814527000Z_acps.k12.va.us:5408.c2s_snaplog.gz,1461083624,205.201.254.10,66.198.10.139,4,4,1,13159399,104325121,0,0,0,0,0,0,8,0,36152,9
a27e4e98494b7b41,2016/04/19/20160419T21:53:41.699982000Z_acps.k12.va.us:24842.c2s_snaplog.gz,1461102823,205.201.254.10,38.90.140.139,4,4,1,13149060,104267777,0,0,0,0,0,0,8,0,36122,9
a27e4e98494b7b41,2016/04/19/20160419T21:53:41.699982000Z_acps.k12.va.us:37656.s2c_snaplog.gz,1461102835,205.201.254.10,38.90.140.139,4,291798,38826,10241542,0,113203952,0,9992522,248936,19,1,5,269,78510,9
20ad2d539ae3b495,2016/04/19/20160419T17:01:33.307174000Z_acps.k12.va.us:44769.c2s_snaplog.gz,1461085295,205.201.254.10,4.35.238.203,10,10,1,13171018,103890945,0,0,0,0,0,0,8,0,36027,9
20ad2d539ae3b495,2016/04/19/20160419T17:01:33.307174000Z_acps.k12.va.us:9933.s2c_snaplog.gz,1461085306,205.201.254.10,4.35.238.203,9,229815,20401,10215091,0,59903760,39576,9959272,216107,20,1,5,150,41584,9
92f6f6a7a27b65e1,2016/04/19/20160419T23:00:00.474302000Z_acps.k12.va.us:12577.s2c_snaplog.gz,1461106813,205.201.254.10,38.90.140.139,3,282198,39324,10245013,0,114732872,10421,9986630,247928,22,1,5,395,79706,9
